object_id,object_name,object_type,pipeline_id,lat,lon,year,material,created_at,updated_at
0,Object0,pipeline section,MT-01,51.180162803734675,71.44606230812958,2000,Steel-200,2023-01-01,2023-06-01
1,Object1,pipeline section,MT-01,51.1802007923915,71.44617133982068,2001,Concrete,2023-01-01,2023-06-01
2,Object2,pipeline section,MT-01,51.18031777253563,71.44629701435339,2002,Steel-200,2023-01-01,2023-06-01
3,Object3,pipeline section,MT-01,51.18048639987151,71.4463238663917,2003,Concrete,2023-01-01,2023-06-01
4,Object4,pipeline section,MT-01,51.18051605195944,71.4464013586831,2004,Steel-200,2023-01-01,2023-06-01
5,Object5,pipeline section,MT-01,51.180638779459095,71.44659880084167,2005,Concrete,2023-01-01,2023-06-01
6,Object6,pipeline section,MT-01,51.180796378688456,71.44662655121081,2006,Steel-200,2023-01-01,2023-06-01
7,Object7,pipeline section,MT-01,51.18086823407557,71.446739597038,2007,Concrete,2023-01-01,2023-06-01
8,Object8,pipeline section,MT-01,51.180919922631205,71.44689835111558,2008,Steel-200,2023-01-01,2023-06-01
9,Object9,pipeline section,MT-01,51.18100433615302,71.44696221196784,2009,Concrete,2023-01-01,2023-06-01
10,Object10,pipeline section,MT-01,51.181129634300206,71.44706659347975,2010,Steel-200,2023-01-01,2023-06-01
11,Object11,pipeline section,MT-01,51.18129035920665,71.44717609143314,2011,Concrete,2023-01-01,2023-06-01
12,Object12,pipeline section,MT-01,51.18134694517841,71.44729459970259,2012,Steel-200,2023-01-01,2023-06-01
13,Object13,pipeline section,MT-01,51.18149658588616,71.44731226216057,2013,Concrete,2023-01-01,2023-06-01
14,Object14,pipeline section,MT-01,51.181579883265705,71.44748999475078,2014,Steel-200,2023-01-01,2023-06-01
15,Object15,pipeline section,MT-01,51.18160629380533,71.44757083372777,2015,Concrete,2023-01-01,2023-06-01
16,Object16,pipeline section,MT-01,51.181780880535655,71.44760226377089,2016,Steel-200,2023-01-01,2023-06-01
17,Object17,pipeline section,MT-01,51.18187266663203,71.44777102506521,2017,Concrete,2023-01-01,2023-06-01
18,Object18,pipeline section,MT-01,51.18198489741557,71.44780177824381,2018,Steel-200,2023-01-01,2023-06-01
19,Object19,pipeline section,MT-01,51.18203457992164,71.44799973346456,2019,Concrete,2023-01-01,2023-06-01
20,Object20,pipeline section,MT-01,51.18214438477097,71.44807412522692,2020,Steel-200,2023-01-01,2023-06-01
21,Object21,pipeline section,MT-01,51.18221150275876,71.44819354701882,2000,Concrete,2023-01-01,2023-06-01
22,Object22,pipeline section,MT-01,51.18236629214097,71.44826765291594,2001,Steel-200,2023-01-01,2023-06-01
23,Object23,pipeline section,MT-01,51.18249677763681,71.44834997471594,2002,Concrete,2023-01-01,2023-06-01
24,Object24,pipeline section,MT-01,51.18253635627258,71.4484621537664,2003,Steel-200,2023-01-01,2023-06-01
25,Object25,pipeline section,MT-01,51.182692484449866,71.44853510478977,2004,Concrete,2023-01-01,2023-06-01
26,Object26,pipeline section,MT-01,51.182779422784115,71.44863825027511,2005,Steel-200,2023-01-01,2023-06-01
27,Object27,pipeline section,MT-01,51.182888305970714,71.44873855815347,2006,Concrete,2023-01-01,2023-06-01
28,Object28,pipeline section,MT-01,51.182943280364654,71.44885487006256,2007,Steel-200,2023-01-01,2023-06-01
29,Object29,pipeline section,MT-01,51.183050403699035,71.44895642717258,2008,Concrete,2023-01-01,2023-06-01
30,Object30,pipeline section,MT-01,51.1831335855094,71.44906480263796,2009,Steel-200,2023-01-01,2023-06-01
31,Object31,pipeline section,MT-01,51.18329903659188,71.44919797091038,2010,Concrete,2023-01-01,2023-06-01
32,Object32,pipeline section,MT-01,51.18332839983995,71.44924475097717,2011,Steel-200,2023-01-01,2023-06-01
33,Object33,pipeline section,MT-01,51.18340864631631,71.44930645657179,2012,Concrete,2023-01-01,2023-06-01
34,Object34,pipeline section,MT-01,51.18358403048023,71.44942915915755,2013,Steel-200,2023-01-01,2023-06-01
35,Object35,pipeline section,MT-01,51.183694404880875,71.44954013503889,2014,Concrete,2023-01-01,2023-06-01
36,Object36,pipeline section,MT-01,51.183731838713285,71.44969904436601,2015,Steel-200,2023-01-01,2023-06-01
37,Object37,pipeline section,MT-01,51.18380665185007,71.44970508256387,2016,Concrete,2023-01-01,2023-06-01
38,Object38,pipeline section,MT-01,51.18390059393939,71.44989405670647,2017,Steel-200,2023-01-01,2023-06-01
39,Object39,pipeline section,MT-01,51.18401034280678,71.44999399624056,2018,Concrete,2023-01-01,2023-06-01
40,Object40,pipeline section,MT-01,51.184136925032526,71.4500999133296,2019,Steel-200,2023-01-01,2023-06-01
41,Object41,pipeline section,MT-01,51.18426625025674,71.45012091286281,2020,Concrete,2023-01-01,2023-06-01
42,Object42,pipeline section,MT-01,51.184392136171205,71.45022919627837,2000,Steel-200,2023-01-01,2023-06-01
43,Object43,pipeline section,MT-01,51.184418340880896,71.45035396242797,2001,Concrete,2023-01-01,2023-06-01
44,Object44,pipeline section,MT-01,51.18457518967934,71.45044042183783,2002,Steel-200,2023-01-01,2023-06-01
45,Object45,pipeline section,MT-01,51.18464874600615,71.45059815648726,2003,Concrete,2023-01-01,2023-06-01
46,Object46,pipeline section,MT-01,51.18478935019887,71.4506284877076,2004,Steel-200,2023-01-01,2023-06-01
47,Object47,pipeline section,MT-01,51.18489235504944,71.45078612168484,2005,Concrete,2023-01-01,2023-06-01
48,Object48,pipeline section,MT-01,51.1849326717577,71.45083813949731,2006,Steel-200,2023-01-01,2023-06-01
49,Object49,pipeline section,MT-01,51.18504620679822,71.45096950117208,2007,Concrete,2023-01-01,2023-06-01
50,Object50,pipeline section,MT-01,51.185187181004004,71.45109644977741,2008,Steel-200,2023-01-01,2023-06-01
51,Object51,pipeline section,MT-01,51.18529223031447,71.45113856013744,2009,Concrete,2023-01-01,2023-06-01
52,Object52,pipeline section,MT-01,51.185333647107775,71.45120862202252,2010,Steel-200,2023-01-01,2023-06-01
53,Object53,pipeline section,MT-01,51.18544383930571,71.45138581489603,2011,Concrete,2023-01-01,2023-06-01
54,Object54,pipeline section,MT-01,51.18552480360302,71.45145597370218,2012,Steel-200,2023-01-01,2023-06-01
55,Object55,pipeline section,MT-01,51.185693984493824,71.45158543384547,2013,Concrete,2023-01-01,2023-06-01
56,Object56,pipeline section,MT-01,51.18570476316088,71.45168505113476,2014,Steel-200,2023-01-01,2023-06-01
57,Object57,pipeline section,MT-01,51.185857094423916,71.45177582968785,2015,Concrete,2023-01-01,2023-06-01
58,Object58,pipeline section,MT-01,51.18591857870269,71.45186612494706,2016,Steel-200,2023-01-01,2023-06-01
59,Object59,pipeline section,MT-01,51.1860985187632,71.4519970906329,2017,Concrete,2023-01-01,2023-06-01
60,Object60,pipeline section,MT-01,51.186150513054606,71.45206056013001,2018,Steel-200,2023-01-01,2023-06-01
61,Object61,pipeline section,MT-01,51.1862590998313,71.45212903062513,2019,Concrete,2023-01-01,2023-06-01
